# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: hpc-c10-node01.unitn.it
# Release : 3.10.0-1160.24.1.el7.x86_64
# Version : #1 SMP Thu Apr 8 19:51:47 UTC 2021
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 237.983205 
# Number of iterations (recorded+unrecorded): 1192501236 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
399971630.60	6914.51
400971726.02	8344.41
401871931.50	10966.23
401971582.46	7868.44
402971439.90	11205.21
403971297.34	9774.31
404971391.76	13015783.46
417987413.21	3814.73
418627998.00	11205.21
418970342.84	9298.34
419970200.28	8582.39
420970056.72	10013.29
421970152.14	9298.34
422970009.58	9536.33
423969866.02	8106.43
424969961.44	11444.19
425969818.88	10251.28
426969675.32	5722.60
427969770.75	10967.23
428970820.10	8106.43
429969484.62	6199.56
430969580.05	13018167.29
444652887.40	11205.21
444968531.13	8106.43
445968388.56	4291.70
446968483.99	11920.16
447968340.43	7391.48
448968197.87	8344.41
449263577.02	10252.28
449968054.30	19788.60
450968149.73	10013.29
451005102.12	10967.23
451968007.17	8344.41
452945216.20	10251.28
452967863.60	8344.41
453967959.03	8583.39
454967816.47	7867.44
455046488.91	10013.29
455967672.91	10729.24
456967530.34	9536.33
457967625.77	8344.41
458967482.21	7391.48
459967339.64	7867.44
460967435.07	7629.46
461968007.46	7867.44
462967148.95	13015782.46
475983169.39	4529.68
476290945.67	11205.21
476966100.03	9536.33
477966195.45	9536.33
478966051.89	9298.34
479965909.33	7629.46
480966004.75	16926.81
481965861.19	7152.50
482965718.63	7629.46
483965814.05	9059.36
484965670.49	5245.63
485965527.93	11682.18
486965623.35	9536.33
487965479.79	8106.43
488965337.23	13013159.65
502446002.88	10966.23
502964526.29	8344.41
503964383.73	7867.44
504964240.17	9059.36
505964097.61	7390.48
506964193.03	8344.41
507964049.47	9536.33
508963906.91	7152.50
509964002.33	9297.34
510963858.77	18118.72
511963716.21	9297.34
512963572.65	7867.44
513963668.07	7629.46
514963525.51	13028178.59
528195775.70	10967.23
528962476.59	9297.34
529160111.64	9297.34
529221142.33	15734.89
529962571.01	6676.53
530162590.90	11682.18
530669194.14	13351.06
530962428.45	10490.26
531170076.80	11443.19
531587994.30	16211.86
531962285.89	10966.23
532034759.77	14066.01
532962380.31	10490.26
533962237.75	11920.16
534962094.19	12159.14
535961951.63	12159.14
536779430.94	13351.06
536962047.05	9775.31
537786201.89	13351.06
537961903.49	8345.41
538961760.93	8821.38
539883183.90	13351.06
539961856.35	8106.43
540590045.02	15972.87
540715682.15	13351.06
540961712.79	13028418.57
554643828.23	11682.18
554891289.77	10728.24
554960663.87	10252.28
555960521.31	7390.48
556624708.44	15973.87
556961093.70	11920.16
557436705.13	13589.04
557933534.07	13351.06
557960473.17	10729.24
558960568.59	10729.24
559019931.40	13112.07
559589711.19	11682.18
559960426.03	8582.39
560432461.72	9536.33
560960282.47	8821.38
561433749.06	9536.33
561627331.40	15495.91
561938206.46	9298.34
561960139.91	10490.26
562089353.79	11443.19
562438612.14	9298.34
562949745.07	10252.28
562960235.33	15257.92
563914081.02	15257.92
563960091.77	9060.36
564555381.76	9774.31
564959949.21	5960.58
564972584.32	9536.33
565280122.62	9536.33
565956706.87	18595.69
566851189.74	15735.89
566959901.07	13020312.14
580641539.55	11205.21
580958852.15	9775.31
581958709.59	16688.82
582958805.01	6913.51
583652315.07	15973.87
583958661.45	8583.39
584394698.68	10967.23
584776856.71	15734.89
584958518.89	5721.60
585958614.31	10013.29
586958470.75	10729.24
587958328.19	10251.28
588958423.62	10251.28
589655271.44	10967.23
589958280.05	8821.38
590958137.49	8821.38
591632098.93	10967.23
591957993.93	8821.38
592697993.71	10489.26
592958089.35	13015067.51
606287608.68	10967.23
606957040.43	6675.53
607956897.87	7867.44
608956993.30	7867.44
609956849.74	9298.34
610956707.17	8105.43
611956802.60	7867.44
612956659.04	7867.44
613956516.47	8582.39
614956611.90	8582.39
615956468.34	6437.55
616956563.76	9059.36
617956182.21	10490.26
618956277.64	13011729.75
632349449.47	11206.21
632955228.72	7390.48
633955086.16	8582.39
634955181.58	24555.27
635955038.02	8344.41
636954895.46	4529.68
637954990.88	7390.48
638954847.32	6437.55
639954704.76	6675.53
640954561.20	8344.41
641954656.62	7867.44
642954514.06	4767.66
643954370.50	7629.46
644954227.94	13010060.87
658632528.64	10966.23
658953417.00	9775.31
659953273.44	8106.43
660953368.86	6676.53
661953226.30	8344.41
662953082.74	4768.66
663952940.18	9298.34
664953035.60	7867.44
665952892.04	8821.38
666952749.48	8821.38
667952844.90	3337.76
668952701.34	7629.46
669952558.78	8821.38
670952654.20	13010060.87
684632146.82	10967.23
684951605.28	7867.44
685951461.72	7629.46
686951319.16	4291.70
687951414.58	7867.44
688951271.02	8344.41
689951128.46	6675.53
690951223.88	9774.31
691951080.32	7391.48
692950937.76	8821.38
693950794.20	8344.41
694950889.62	7629.46
695950747.06	3337.76
696950603.50	13012206.72
710539742.50	10966.23
710949793.56	7629.46
711949650.00	8821.38
712949507.44	8821.38
713949602.86	7629.46
714949459.30	8344.41
715949316.74	8582.39
716949173.18	2622.81
717949268.60	8821.38
718949126.04	8105.43
719948982.48	8583.39
720949077.90	5960.58
721948935.34	8344.41
722948791.78	13011252.78
736633053.07	11205.21
736947981.84	4291.70
737947838.28	8344.41
738947695.72	8821.38
739947552.16	7152.50
740947647.58	7867.44
741947505.02	35521.49
742947361.46	5483.61
743947456.88	5483.61
744947314.32	5244.63
745947170.76	7867.44
746947266.18	8106.43
747947123.62	5960.58
748946980.06	13010299.85
762632671.25	11205.21
762945931.14	9059.36
763946026.56	4291.70
764945884.00	9297.34
765945740.44	8106.43
766945835.87	7867.44
767945693.30	7867.44
767953798.73	5244.63
768945549.74	5006.65
769945645.17	15496.91
770945502.60	9059.36
771945359.04	9536.33
772945454.47	9059.36
773945311.91	8105.43
774945168.34	13012921.67
788639679.91	10967.23
788944119.42	5960.58
789944214.85	7152.50
790944071.29	6914.51
791943928.73	8106.43
792943785.16	9060.36
793943880.59	11206.21
794943738.03	7390.48
795943594.46	7391.48
796943689.89	9298.34
797943547.33	10013.29
798943403.77	8106.43
799943499.19	8344.41
800943356.63	13014113.58
814631193.66	10966.23
814942307.71	11443.19
815942403.13	9298.34
816333143.55	10251.28
816942259.57	7152.50
817942117.01	5006.65
818546465.36	12397.13
818621085.09	12159.14
818941973.45	10013.29
819942068.87	8583.39
820013112.85	11444.19
820044581.63	9298.34
820123493.06	9536.33
820275831.31	9536.33
820365470.99	11443.19
820941926.31	5244.63
821941782.75	5722.60
822941878.17	9298.34
823941735.61	6198.56
824941592.05	5007.65
825941687.47	4530.68
826941544.91	13013159.65
839954942.54	5245.63
840621514.50	10966.23
840940495.99	11443.19
841940591.41	6675.53
842940447.85	6675.53
843940305.29	8821.38
844940161.73	15019.94
845301340.24	17403.77
845336623.75	11444.19
845374053.11	12397.13
845940257.15	8821.38
846006533.47	11443.19
846036333.37	9298.34
846068041.13	9297.34
846100939.81	11444.19
846136700.29	10013.29
846940114.59	7629.46
847939971.03	15734.89
848940305.43	8582.39
849940400.86	7628.46
850940019.31	25270.22
851939637.77	9536.33
852939733.19	13020789.11
866623993.48	10967.23
866938684.27	8344.41
867938779.69	11443.19
868938636.13	7391.48
869938493.57	5244.63
870938350.01	8344.41
871938445.43	8344.41
872938302.87	8821.38
873938159.31	7391.48
874938254.73	7152.50
875938112.17	6436.55
876938207.59	8105.43
877937826.05	9059.36
878937921.47	13012205.72
891950365.17	2622.81
892620751.86	11205.21
892936872.55	9774.31
893936728.99	9298.34
894936824.41	6437.55
895936681.85	30991.81
896936538.29	10490.26
897936395.73	10728.24
898936491.15	9059.36
899936347.59	9298.34
900936205.03	8820.38
901936299.45	11444.19
902936394.88	9537.33
903936014.33	8344.41
904936108.75	13015544.48
918568398.71	10966.23
918935059.83	8583.39
919485529.99	11205.21
919934917.27	9059.36
920491109.02	12874.09
920935012.70	9059.36
921365804.29	12874.09
921934869.13	8106.43
922934726.57	9775.31
923200544.81	11443.19
923310924.02	9537.33
923402470.56	15496.91
923865923.86	11920.16
923934583.01	10013.29
