#size	rtt
1	3.630000
1	3.376500
1	3.347000
1	3.415500
1	3.432500
1	3.387500
1	3.600500
1	3.426000
1	3.365500
1	3.454000
1	4.795000
1	3.499500
1	3.441500
1	3.575500
1	3.318000
1	3.539500
1	3.385000
1	3.538000
1	3.493000
1	3.415000
1	3.403500
1	3.522500
1	3.330000
1	3.383000
1	3.539500
1	3.523500
1	3.346500
1	7.443000
1	5.363500
1	3.364500
1	3.603500
1	6.218000
1	3.592000
1	5.136500
1	8.150000
1	19.410500
1	33.324500
1	59.587000
1	64.929000
1	36.079000
1	55.302000
1	31.761000
1	59.540000
1	46.159000
1	18.548000
1	4.381500
1	3.325000
1	3.456000
1	3.531500
1	3.424500
1	4.384500
1	3.706500
1	3.448000
1	5.573500
1	5.118500
1	3.301000
1	4.324000
1	3.599500
1	5.869500
1	15.321500
1	6.167500
1	20.618000
1	37.605000
1	54.494000
1	14.486000
1	17.914000
1	40.757000
1	17.902000
1	35.870000
1	28.571500
1	22.877000
1	21.106000
1	21.786000
1	8.664000
1	15.560500
1	14.522000
1	15.792000
1	20.954000
1	16.499000
1	7.958500
1	3.417500
1	13.027000
1	6.245000
1	23.693500
1	44.994500
1	52.941000
1	25.001000
1	31.566500
1	50.750500
1	42.642500
1	53.921500
1	75.532000
1	70.027000
1	73.926000
1	53.989500
1	3.332500
1	3.320000
1	3.364500
1	3.396500
1	3.551000
1	4.368000
1	5.074000
1	3.385000
1	3.386000
1	3.416000
1	3.341000
1	3.294000
1	3.353500
1	3.357500
1	3.411000
1	3.500500
1	3.319000
1	3.452000
1	3.458000
1	3.550500
1	3.344500
1	10.112000
1	4.866500
1	22.310000
1	47.857000
1	25.149000
1	5.399500
1	3.732000
1	3.513500
1	3.429500
1	3.376000
1	3.403000
1	3.315500
1	4.178500
1	3.359500
1	3.340500
1	9.199000
1	42.285500
1	49.439000
1	11.804500
1	47.714000
1	75.990500
1	73.632000
1	53.849000
1	52.243000
1	23.365500
1	29.993000
1	31.986000
1	9.521500
1	5.335500
1	17.614000
1	39.863000
1	29.964000
1	20.216000
1	62.837500
1	28.639500
1	64.819500
1	65.132000
1	30.096500
1	74.682000
1	87.292500
1	58.377000
1	54.400500
1	45.355500
1	36.549500
1	44.121000
1	38.924000
1	42.707500
1	81.158500
1	112.061000
1	38.349000
1	54.083000
1	51.307500
1	37.625000
1	64.953500
1	51.996500
1	23.049500
1	28.944500
1	3.406500
1	3.437000
1	4.280000
1	3.423000
1	18.653500
1	22.024000
1	24.141500
1	18.257000
1	16.739000
1	3.378500
1	3.436500
1	3.374500
1	3.331500
1	3.381000
1	3.363500
1	3.331000
1	3.386000
1	3.355000
1	3.385500
1	4.014500
1	3.427500
1	4.811500
1	3.424000
1	3.356000
1	3.353500
1	3.326500
1	3.384000
1	3.348000
1	3.317500
1	3.368000
1	3.538000
1	3.367000
1	3.739500
1	14.291500
1	19.210000
1	17.755000
1	11.170000
1	15.683500
1	6.732500
1	3.381000
1	8.014500
1	3.392000
1	9.445500
1	20.749500
1	76.506500
1	9.847500
1	3.410500
1	28.084500
1	20.629000
1	43.093500
1	51.092000
1	70.575500
1	11.367000
1	6.472500
1	7.647500
1	14.514000
1	12.907500
1	16.702000
