#size	rtt
1	27.847000
1	37.790500
1	19.036000
1	14.231500
1	20.188500
1	11.986000
1	1.647000
1	1.624000
1	2.812000
1	3.024000
1	1.823500
1	1.611500
1	1.623500
1	1.800000
1	1.798000
1	1.586500
1	1.582000
1	1.784000
1	1.631000
1	1.587500
1	1.583000
1	1.588500
1	1.588000
1	1.820500
1	1.618500
1	1.589500
1	1.582500
1	1.637500
1	1.649000
1	1.661000
1	1.637500
1	1.645500
1	1.599500
1	1.584500
1	1.579500
1	1.585500
1	1.748500
1	1.585000
1	1.646000
1	1.605000
1	1.595000
1	1.690000
1	1.580500
1	1.580500
1	1.633000
1	1.638500
1	1.644000
1	1.598500
1	1.587000
1	1.575500
1	1.620500
1	14.911000
1	30.795000
1	27.486500
1	18.276500
1	11.562500
1	6.612000
1	5.505000
1	1.617500
1	1.588000
1	9.254000
1	3.737000
1	1.619500
1	1.584000
1	1.656000
1	7.321000
1	1.686000
1	7.951000
1	8.197500
1	7.702500
1	22.416500
1	15.629000
1	16.591000
1	1.725000
1	1.640000
1	1.654500
1	1.614000
1	1.614000
1	2.120000
1	1.678000
1	1.636000
1	1.632000
1	1.596000
1	1.574000
1	1.584000
1	1.584500
1	1.624000
1	1.634500
1	1.586000
1	1.576500
1	1.593000
1	1.571000
1	1.616500
1	1.614000
1	1.650000
1	1.663000
1	1.597500
1	1.590500
1	1.585000
1	1.573500
1	1.584000
1	1.568000
1	1.582000
1	1.624000
1	1.590500
1	1.587000
1	1.590000
1	1.620000
1	1.734000
1	17.838500
1	38.871500
1	53.133000
1	48.264000
1	44.163500
1	34.974000
1	20.987500
1	22.402000
1	17.873500
1	1.644000
1	1.613500
1	1.627000
1	1.649000
1	1.646000
1	12.474500
1	34.612500
1	46.927000
1	42.260500
1	1.654500
1	1.605500
1	1.681500
1	1.654000
1	1.573000
1	1.804500
1	1.717000
1	1.717500
1	1.847000
1	1.575500
1	1.672000
1	1.624500
1	1.862000
1	1.576000
1	1.664500
1	2.027500
1	2.857500
1	1.710000
1	1.584500
1	1.659000
1	1.927500
1	1.642000
1	1.588500
1	1.674500
1	16.738500
1	20.126000
1	14.947500
1	1.633500
1	1.575500
1	1.591500
1	1.626000
1	1.641500
1	1.580000
1	1.620500
1	1.687000
1	1.591000
1	1.581000
1	1.583000
1	1.581500
1	1.648500
1	1.599500
1	1.584500
1	1.622000
1	1.593500
1	1.660000
1	1.593500
1	1.640000
1	1.611000
1	1.577500
1	1.580000
1	1.580500
1	1.576000
1	1.575000
1	1.759000
1	1.577000
1	1.631500
1	1.581000
1	1.584000
1	1.580500
1	1.658000
1	1.610000
1	1.590000
1	1.604000
1	1.662500
1	1.587500
1	1.642000
1	1.599500
1	1.595500
1	1.597000
1	1.586000
1	1.661000
1	1.618000
1	1.700000
1	1.590000
1	1.580000
1	1.870500
1	1.637500
1	1.609000
1	1.614500
1	1.606000
1	1.670000
1	1.577500
1	1.635000
1	1.587000
1	1.590000
1	1.585000
1	1.614000
1	1.607000
1	1.579500
1	1.589500
1	1.662000
1	1.600000
1	1.581500
1	1.587000
1	1.614000
1	6.587000
1	27.917000
1	23.403000
1	1.584500
1	16.328000
1	1.591000
1	1.596500
1	1.627000
1	1.633500
1	16.466500
1	24.230500
1	1.618500
1	1.573500
1	1.610000
1	1.597000
1	1.623000
1	1.722500
1	1.572500
1	1.584000
1	1.584000
1	1.610000
1	1.581500
1	1.594500
1	1.638500
1	1.623500
1	1.585500
1	1.610000
1	1.576000
1	1.569000
1	1.627000
1	1.622000
1	1.629000
1	1.827500
1	1.643000
1	1.605500
1	1.596500
1	1.593000
1	1.595500
1	1.799000
1	1.626000
1	1.618500
1	1.598500
1	1.620500
1	1.581500
1	1.680500
1	1.577000
1	1.603500
1	1.625000
1	1.695000
1	1.576500
1	1.663500
1	1.569000
1	1.587500
1	1.575500
1	1.627500
1	1.594500
1	1.578500
1	1.646500
1	1.592500
1	1.623500
1	1.633000
1	1.590000
1	1.575500
1	1.602500
1	1.615000
1	1.581000
1	1.582500
1	1.577000
1	2.055500
1	27.246500
1	38.021000
1	24.693000
1	1.581000
1	1.570000
1	1.643000
1	1.575000
1	53.005000
1	23.623500
1	38.087000
1	28.559500
1	22.174500
1	19.315000
1	10.879500
1	1.635000
1	1.574000
1	1.583000
1	1.582500
1	1.587000
1	1.618500
1	1.583500
1	1.586500
1	1.567500
1	1.597500
1	1.646000
1	1.592500
1	1.620500
1	1.623000
1	1.577000
1	1.664500
1	1.586500
1	1.654000
1	1.634000
1	1.710000
1	1.579000
1	1.623500
1	1.585500
1	1.643500
1	1.582500
1	1.585000
1	1.521000
1	1.579500
1	1.608000
1	1.603500
1	1.625500
1	1.591000
1	1.659500
1	1.645500
1	4.873000
1	3.227500
1	4.896000
1	1.677000
1	1.581000
1	1.608000
1	1.585000
1	1.622000
1	8.166000
1	1.576000
1	1.677000
1	1.639000
1	1.579500
1	1.666000
1	1.575000
1	1.583500
1	1.593000
1	1.598000
1	1.615000
1	1.605500
1	1.664000
1	1.642000
1	1.661000
1	1.638000
1	1.582000
1	1.587000
1	1.602500
1	1.627000
1	1.676500
1	1.621500
1	1.578000
1	1.575000
1	3.305000
1	1.580500
1	1.587000
1	1.731500
1	1.625500
1	1.685000
1	1.641000
1	1.580500
1	1.587500
1	1.740000
1	1.617500
1	1.605500
1	1.596500
1	4.794000
1	1.635000
1	1.733500
1	1.670000
1	1.623500
1	1.623000
1	1.610500
1	1.613500
1	1.587000
1	1.585500
1	1.621500
1	1.573500
1	1.588000
1	1.613000
1	1.610000
1	1.636500
1	1.595500
1	1.580000
1	1.588000
1	1.638500
1	1.583500
1	1.594000
1	1.596500
1	1.585500
1	1.654000
1	1.575000
1	1.578500
1	1.572500
1	1.572500
1	1.610000
1	1.656500
1	1.622000
1	1.591000
1	1.584000
1	1.582000
1	1.580000
1	1.607500
1	1.602000
1	1.582000
1	1.569000
1	1.577000
1	8.918500
1	16.015000
1	45.232000
1	1.632500
1	11.229000
1	1.643000
1	1.572500
1	1.589500
1	1.601500
1	1.701500
1	1.660000
1	1.598500
1	1.586000
1	1.636000
1	17.478500
1	5.805500
1	4.688500
1	8.336000
1	1.579000
1	1.587000
1	1.630000
1	1.616000
1	1.601000
1	1.593000
1	1.588500
1	1.652000
1	1.584500
1	1.582500
1	1.572500
1	7.287500
1	6.552000
1	7.242500
1	13.559000
1	1.578500
1	1.627500
1	1.585000
1	1.606500
1	1.650000
1	33.722500
1	22.990000
1	1.627000
1	18.936000
1	1.626500
1	1.616000
1	1.682000
1	62.303000
1	22.110000
1	29.816500
1	39.842000
1	39.059500
1	38.857500
1	16.647500
1	7.108500
1	1.638500
1	1.583000
1	1.583500
1	1.612000
1	1.601000
1	1.593500
1	2.239000
1	1.779500
1	4.229500
1	2.551000
1	1.718000
1	1.628000
1	1.656500
1	4.802500
1	3.466000
1	5.051000
1	1.630500
1	1.588500
1	1.602500
1	1.627500
1	1.651500
1	1.594500
1	1.802500
1	1.621000
1	1.585500
1	1.610500
1	1.630500
1	1.612500
1	1.578500
1	1.618000
1	1.585000
1	1.631500
1	1.659500
1	1.675000
1	1.623000
1	2.280500
1	1.617000
1	1.581000
1	1.661500
1	1.582000
1	1.664500
1	1.636000
1	1.606500
1	1.653000
1	20.557000
1	19.103000
1	16.060500
1	16.769500
1	1.674500
1	1.687000
1	1.595500
1	1.580000
1	1.601500
1	1.586000
1	1.588500
1	1.584500
1	1.605000
1	1.576000
1	1.666500
1	11.049500
1	12.384000
1	1.615500
1	1.576000
1	1.616500
1	1.630000
1	1.585000
1	1.581500
1	1.585500
1	1.570500
1	1.637500
1	29.815000
1	1.654000
1	11.560000
1	12.660500
1	20.533500
1	25.049000
1	13.697500
1	1.602000
1	16.726000
1	32.391000
1	44.996500
1	49.791500
1	36.113500
1	24.615500
1	28.549500
1	30.705500
1	31.594000
1	20.733000
1	26.214500
1	23.841500
1	24.884000
1	47.093000
1	27.121500
1	4.764000
1	1.698500
1	1.642500
1	1.698000
1	1.595500
1	1.708500
1	1.660500
1	1.724500
1	1.615500
1	1.587500
1	1.594000
1	1.654000
1	1.576500
1	1.661000
1	1.587000
1	1.572500
1	1.588000
1	1.619500
1	1.604500
1	1.619500
1	1.724500
1	1.623500
1	1.590000
1	1.625500
1	1.592000
1	1.654000
1	1.581000
1	1.577500
1	1.622500
1	1.633000
1	1.588500
1	1.593500
1	1.579000
1	1.622000
1	1.631500
1	1.610000
1	1.574000
1	1.679000
1	1.586000
1	1.585000
1	1.626500
1	1.614000
1	1.581500
1	1.653500
1	1.577500
1	1.581500
1	1.575000
1	1.589000
1	1.585000
1	1.631000
1	1.618500
1	1.606000
1	1.566500
1	1.759000
1	1.623500
1	1.586000
1	1.581500
1	1.619500
1	1.594000
1	1.584500
1	1.560000
1	1.841000
1	2.734000
1	1.585000
1	3.095500
1	1.583500
1	1.681500
1	1.627500
1	1.581500
1	1.589500
1	1.592500
1	12.824000
1	13.571500
1	1.612000
1	1.627500
1	10.732000
1	1.590500
1	1.646500
1	1.587500
1	1.578000
1	7.436000
1	7.854500
1	7.757500
1	1.654500
1	17.049000
1	1.587500
1	6.468000
1	1.577500
1	1.572000
1	1.577500
1	5.107000
1	1.576500
1	1.586000
1	1.585500
1	1.594000
1	1.575500
1	1.585500
1	1.582000
1	1.608500
1	1.595500
1	1.624500
1	1.592500
1	1.617000
1	1.604500
1	1.715000
1	1.579500
1	1.586500
1	1.586500
1	1.574000
1	1.582000
1	1.568500
1	1.579000
1	1.581500
1	1.629500
1	1.624000
1	1.952000
1	1.590500
1	1.565000
1	1.582500
1	1.591000
1	1.579000
1	1.591500
1	1.583000
1	1.571500
1	1.581500
1	1.569000
1	1.871500
1	1.687500
1	1.568500
1	1.578000
1	1.645000
1	1.623500
1	1.574500
1	1.608000
1	1.581500
1	2.303500
1	1.607000
1	1.625500
1	1.579500
1	1.586500
1	1.583500
1	1.626000
1	1.577000
1	1.793500
1	1.582000
1	1.619500
1	1.619500
1	1.602500
1	1.711000
1	1.581500
1	1.634500
1	42.858500
1	52.969000
1	51.659500
1	45.517000
1	61.868500
1	58.294500
1	50.087500
1	18.678500
1	1.588500
1	1.713500
1	1.630000
1	3.668500
1	5.991000
1	1.577000
1	13.639000
1	41.202000
1	31.332000
1	2.657000
1	4.142000
1	1.593500
1	1.565500
1	1.626000
1	1.585500
1	1.597000
1	1.690500
1	1.586000
1	1.667000
1	1.594500
1	1.616000
1	1.675000
1	1.575000
1	1.571500
1	1.661000
1	1.595500
1	1.581500
1	1.595000
1	1.579000
1	1.569000
1	1.574000
1	1.828500
1	1.627500
1	1.826000
1	1.593500
1	1.655500
1	1.634500
1	1.577500
1	1.633000
1	1.684500
1	1.633000
1	1.578000
1	1.582500
1	1.564500
1	1.580500
1	1.599500
1	1.607500
1	1.597500
1	1.581000
1	1.614000
1	1.575500
1	2.641500
1	1.664500
1	1.593500
1	1.590500
1	1.596000
1	1.588000
1	1.581000
1	2.288500
1	1.601000
1	1.603500
1	1.598500
1	1.583500
1	1.678000
1	1.623500
1	1.588000
1	1.565500
1	1.604500
1	3.162500
1	1.675500
1	1.604000
1	1.581500
1	1.580000
1	1.580500
1	1.598000
1	7.672000
1	17.076500
1	7.120500
1	1.665500
1	10.811000
1	8.438500
1	4.222500
1	1.581500
1	5.006500
1	1.666500
1	4.427000
1	1.628000
1	1.668500
1	1.696000
1	1.613000
1	1.594500
1	1.581500
1	1.575500
1	1.576000
1	1.688000
1	2.191500
1	1.582000
1	2.011500
1	1.638500
1	1.629000
1	1.629500
1	1.585000
1	1.600000
1	2.401500
1	1.630000
1	1.573500
1	1.582000
1	1.585000
1	1.571000
1	1.680000
1	7.091000
1	1.634500
1	2.549500
1	1.581500
1	1.652500
1	1.607500
1	1.705500
1	1.575500
1	1.573500
1	1.575500
1	1.582000
1	1.568000
1	1.575500
1	1.563500
1	1.578500
1	1.578000
1	1.697000
1	1.583500
1	1.584000
1	1.564000
1	1.586000
1	1.600000
1	1.737000
1	1.580500
1	1.584500
1	1.586500
1	1.600500
1	1.680000
1	1.591500
1	1.586500
1	1.575000
1	1.578500
1	1.677500
1	1.583500
1	1.571000
1	1.585500
1	1.592000
1	1.613500
1	1.618000
1	1.568000
1	1.588500
1	1.609000
1	1.584500
1	1.592000
1	1.575000
1	1.588000
1	1.580000
1	1.559000
1	1.638000
1	1.608500
1	1.587000
1	1.624500
1	1.590000
1	1.674500
1	1.627000
1	1.647000
1	1.598000
1	1.588500
1	1.632000
1	1.583500
1	1.595500
1	1.583500
1	1.583500
1	1.577500
1	1.579500
1	1.590500
1	1.589500
1	1.574000
1	1.583000
1	1.617000
1	1.611000
1	1.587000
1	1.592000
1	1.568000
1	1.581500
1	1.578500
1	1.577000
1	1.577000
1	1.589000
1	1.588500
1	1.587500
1	1.586000
1	1.686500
1	1.627500
1	1.586000
1	1.655500
1	1.624000
1	1.614500
1	1.632000
1	1.574000
1	1.636500
1	1.582500
1	1.596500
1	2.160000
1	1.589500
1	7.297500
1	18.858500
1	22.998000
1	29.008000
1	37.091500
1	53.319000
1	68.202000
1	51.735000
1	55.143000
1	27.584500
1	5.808500
1	2.590000
1	1.777500
1	1.631500
1	1.579000
1	1.575000
1	1.581500
1	1.618000
1	1.632500
1	1.671000
1	1.580500
1	1.694000
1	1.692000
1	1.847500
1	1.601500
1	1.638500
1	1.585000
1	1.572000
1	1.585000
1	1.572000
1	1.573000
1	1.576000
1	1.574000
1	1.582500
1	1.584000
1	1.569500
1	1.566500
1	1.641000
1	1.609500
1	1.683500
1	1.586000
1	1.579500
1	1.587000
1	1.582000
1	1.578000
1	1.586500
1	1.582000
1	1.583500
1	1.624000
1	1.592500
1	1.590000
1	1.579000
1	1.580000
1	1.661500
1	1.612000
1	1.617000
1	1.571500
1	1.580500
1	1.567000
1	1.578000
1	1.573000
1	1.632000
1	1.583500
1	1.577000
1	1.611000
#size	rtt
1	11.487500
1	1.683500
1	1.779000
1	1.612500
1	1.570500
1	1.612500
1	1.617000
1	32.330000
1	42.788500
1	13.656500
1	1.630000
1	1.803500
1	1.569000
1	1.729000
1	1.815000
1	1.583500
1	1.568500
1	5.109500
1	14.901000
1	14.965500
1	3.880500
1	1.612000
1	2.920000
1	2.657500
1	1.654000
1	1.620000
1	1.623000
1	1.575000
1	1.574500
1	1.650000
1	24.873500
1	5.667000
1	1.579000
1	1.630000
1	1.674000
1	1.670000
1	1.618500
1	1.615500
1	1.624500
1	2.625500
1	1.790500
1	1.621000
1	9.196500
1	11.580500
1	5.502000
1	8.082500
1	2.417500
1	1.555500
1	1.607000
1	6.457000
1	2.613000
1	1.908000
1	2.319000
1	12.350000
1	23.016000
1	1.568000
1	1.624000
1	6.675500
1	1.562500
1	1.785000
1	1.618500
1	2.103500
1	1.709000
1	1.572000
1	5.115500
1	1.758500
1	11.108500
1	12.231500
1	1.628500
1	1.626500
1	1.676000
1	1.673500
1	1.558500
1	1.629500
1	3.883000
1	7.745000
1	1.666000
1	1.592000
1	1.594000
1	1.571000
1	1.562000
1	1.570500
1	1.580000
1	1.576000
1	1.570500
1	1.567000
1	1.563500
1	1.573500
1	1.568000
1	1.590000
1	1.572000
1	1.582000
1	1.564500
1	1.589000
1	1.612500
1	1.581000
1	1.682000
1	1.628000
1	1.593000
1	1.585000
1	5.004000
1	36.598000
1	42.662500
1	17.158000
1	33.307000
1	39.585500
1	48.456000
1	39.742500
1	58.650000
1	20.196500
1	34.885500
1	26.920000
1	14.920500
1	25.232000
1	19.021500
1	1.635000
1	1.560000
1	1.568500
1	1.580500
1	1.558500
1	1.610000
1	1.604500
1	1.566000
1	1.567000
1	1.563000
1	7.591000
1	1.685500
1	25.081500
1	48.847500
1	49.898000
1	56.593000
1	54.664000
1	49.115000
1	28.496000
1	40.552000
1	60.173500
1	66.323500
1	73.547000
1	52.885000
1	56.623500
1	60.763000
1	64.317500
1	54.560500
1	42.945000
1	1.616000
1	1.596500
1	6.492500
1	12.728500
1	3.513500
1	1.746000
1	1.606500
1	1.744500
1	24.572500
1	12.173500
1	1.577000
1	1.599500
1	1.567500
1	1.612000
1	1.617500
1	10.385500
1	15.438500
1	13.283000
1	9.458500
1	5.144500
1	15.184500
1	3.225000
1	3.422500
1	1.741000
1	1.570000
1	1.985000
1	10.222500
1	34.301500
1	31.014500
1	37.114500
1	1.672500
1	1.572000
1	1.741000
1	1.649000
1	1.612000
1	1.581500
1	1.557000
1	1.670000
1	1.581500
1	1.570000
1	1.659000
1	6.091500
1	1.626000
1	5.394000
1	7.843000
1	6.840000
1	1.670000
1	4.040500
1	1.707500
1	1.570000
1	1.572000
1	1.645000
1	1.586000
1	1.683500
1	1.580000
1	1.558500
1	1.565500
1	1.661500
1	1.573500
1	1.558500
1	1.578000
1	1.597500
1	1.593000
1	1.573000
1	1.673500
1	15.804000
1	1.603000
1	1.622500
1	20.437500
1	34.173000
1	9.374500
1	7.048000
1	10.972000
1	29.378000
1	49.101000
1	39.346000
1	34.388500
1	9.653000
1	1.610000
1	1.577000
1	1.670500
1	1.596500
1	1.570500
1	1.656500
1	2.972000
1	10.485500
1	13.095500
1	1.574000
1	1.660000
1	1.575500
1	2.543500
1	4.672500
1	1.698500
1	12.841500
1	15.877500
1	2.294500
1	4.879500
1	7.496000
1	2.507500
1	1.556000
