# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
128591923,1000000000,1
151086,1000000000,1
103611,1000000000,1
104695,1000000000,1
104076,1000000000,1
358835,1000000000,1
459178,1000000000,1
156239,1000000000,1
287244,1000000000,1
756316,1000000000,1
299677,1000000000,1
228179,1000000000,1
258314,1000000000,1
569682,1000000000,1
103259,1000000000,1
102490,1000000000,1
647697,1000000000,1
101908,1000000000,1
221648,1000000000,1
290479,1000000000,1
104347,1000000000,1
150687,1000000000,1
801292,1000000000,1
165736,1000000000,1
103558,1000000000,1
608085,1000000000,1
103619,1000000000,1
110697,1000000000,1
486173,1000000000,1
603006,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
146609656,800000000,1
151375,800000000,1
368410,800000000,1
218996,800000000,1
146183,800000000,1
212993,800000000,1
313042,800000000,1
213696,800000000,1
207477,800000000,1
317131,800000000,1
217919,800000000,1
306681,800000000,1
606174,800000000,1
380196,800000000,1
166291,800000000,1
422836,800000000,1
448278,800000000,1
204773,800000000,1
112381,800000000,1
247488,800000000,1
278686,800000000,1
203318,800000000,1
193117,800000000,1
365230,800000000,1
367166,800000000,1
191620,800000000,1
143784,800000000,1
102131,800000000,1
219822,800000000,1
918803,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
117828433,600000000,1
220652,600000000,1
214134,600000000,1
240734,600000000,1
272497,600000000,1
333039,600000000,1
177860,600000000,1
274717,600000000,1
278640,600000000,1
136039,600000000,1
160998,600000000,1
807339,600000000,1
201696,600000000,1
130276,600000000,1
526767,600000000,1
123736,600000000,1
151992,600000000,1
102930,600000000,1
655580,600000000,1
218465,600000000,1
102284,600000000,1
289236,600000000,1
102026,600000000,1
599495,600000000,1
101098,600000000,1
101754,600000000,1
377878,600000000,1
290737,600000000,1
550663,600000000,1
103451,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
115329066,400000000,1
535241,400000000,1
202671,400000000,1
211710,400000000,1
345969,400000000,1
209410,400000000,1
237697,400000000,1
179707,400000000,1
230208,400000000,1
102646,400000000,1
331726,400000000,1
101093,400000000,1
102061,400000000,1
240165,400000000,1
192016,400000000,1
144939,400000000,1
102269,400000000,1
273021,400000000,1
181193,400000000,1
288481,400000000,1
101327,400000000,1
101832,400000000,1
312027,400000000,1
101175,400000000,1
367799,400000000,1
102107,400000000,1
402239,400000000,1
101689,400000000,1
102634,400000000,1
896806,400000000,1
# Hoverboard test (1048576 1 200000000)
# time(ns),sleep_time(ns),repetitions
114894003,200000000,1
169169,200000000,1
101479,200000000,1
100445,200000000,1
101053,200000000,1
608963,200000000,1
148594,200000000,1
131484,200000000,1
101372,200000000,1
197176,200000000,1
115445,200000000,1
101150,200000000,1
750465,200000000,1
102778,200000000,1
143234,200000000,1
148091,200000000,1
103069,200000000,1
107477,200000000,1
121214,200000000,1
123132,200000000,1
369936,200000000,1
230214,200000000,1
101631,200000000,1
101539,200000000,1
100939,200000000,1
268472,200000000,1
138032,200000000,1
179800,200000000,1
165960,200000000,1
100238,200000000,1
# Hoverboard test (1048576 1 0)
# time(ns),sleep_time(ns),repetitions
128609323,0,1
105578,0,1
101302,0,1
105863,0,1
100965,0,1
100619,0,1
102834,0,1
101800,0,1
119062,0,1
133329,0,1
207578,0,1
139421,0,1
155804,0,1
142687,0,1
124798,0,1
158985,0,1
159244,0,1
159558,0,1
137211,0,1
191141,0,1
184639,0,1
107060,0,1
176897,0,1
329337,0,1
125134,0,1
249656,0,1
180234,0,1
174625,0,1
256784,0,1
207006,0,1
# Hoverboard test (1048576 1 200000001)
# time(ns),sleep_time(ns),repetitions
132251001,200000001,1
206629,200000001,1
245962,200000001,1
213272,200000001,1
121450,200000001,1
214597,200000001,1
400568,200000001,1
152071,200000001,1
105687,200000001,1
100844,200000001,1
113521,200000001,1
145492,200000001,1
102795,200000001,1
102173,200000001,1
101488,200000001,1
979285,200000001,1
102275,200000001,1
358944,200000001,1
101803,200000001,1
142606,200000001,1
204652,200000001,1
298774,200000001,1
101653,200000001,1
212711,200000001,1
125983,200000001,1
132642,200000001,1
442334,200000001,1
292831,200000001,1
100761,200000001,1
190760,200000001,1
# Hoverboard test (1048576 1 400000001)
# time(ns),sleep_time(ns),repetitions
110124307,400000001,1
109138,400000001,1
160543,400000001,1
197969,400000001,1
136150,400000001,1
100339,400000001,1
309456,400000001,1
306073,400000001,1
555386,400000001,1
311905,400000001,1
102263,400000001,1
594679,400000001,1
145048,400000001,1
102067,400000001,1
102198,400000001,1
255871,400000001,1
144253,400000001,1
110886,400000001,1
100791,400000001,1
128295,400000001,1
114459,400000001,1
101131,400000001,1
425235,400000001,1
101030,400000001,1
254196,400000001,1
196615,400000001,1
106469,400000001,1
191365,400000001,1
104039,400000001,1
217771,400000001,1
# Hoverboard test (1048576 1 600000001)
# time(ns),sleep_time(ns),repetitions
120752340,600000001,1
146038,600000001,1
104845,600000001,1
113057,600000001,1
960925,600000001,1
102146,600000001,1
145630,600000001,1
110341,600000001,1
162900,600000001,1
222541,600000001,1
103338,600000001,1
120162,600000001,1
243910,600000001,1
338252,600000001,1
127378,600000001,1
296577,600000001,1
800082,600000001,1
151147,600000001,1
157060,600000001,1
141591,600000001,1
331616,600000001,1
139587,600000001,1
329159,600000001,1
102034,600000001,1
357574,600000001,1
100674,600000001,1
128708,600000001,1
271501,600000001,1
280778,600000001,1
553828,600000001,1
# Hoverboard test (1048576 1 800000001)
# time(ns),sleep_time(ns),repetitions
165679244,800000001,1
124169,800000001,1
104226,800000001,1
158068,800000001,1
194835,800000001,1
322968,800000001,1
459144,800000001,1
136966,800000001,1
102764,800000001,1
190609,800000001,1
168391,800000001,1
121573,800000001,1
347778,800000001,1
156257,800000001,1
103744,800000001,1
170305,800000001,1
329517,800000001,1
337506,800000001,1
178957,800000001,1
528537,800000001,1
158023,800000001,1
117673,800000001,1
569449,800000001,1
170606,800000001,1
247483,800000001,1
126202,800000001,1
190246,800000001,1
160639,800000001,1
103189,800000001,1
102172,800000001,1
# Hoverboard test (1048576 1 1000000001)
# time(ns),sleep_time(ns),repetitions
122922766,1000000001,1
