# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
247958,1000000001,1
533185,1000000001,1
890751,1000000001,1
615466,1000000001,1
113363,1000000001,1
259823,1000000001,1
104533,1000000001,1
281993,1000000001,1
152041,1000000001,1
134167,1000000001,1
152343,1000000001,1
195487,1000000001,1
103204,1000000001,1
121273,1000000001,1
437461,1000000001,1
103377,1000000001,1
102534,1000000001,1
217440,1000000001,1
490479,1000000001,1
374898,1000000001,1
325631,1000000001,1
102133,1000000001,1
177084,1000000001,1
296834,1000000001,1
381012,1000000001,1
228678,1000000001,1
101995,1000000001,1
104478,1000000001,1
103000,1000000001,1
