#size	rtt
4	1.960000
4	1.922000
4	1.971000
4	1.990500
4	1.814000
4	2.041000
4	1.843500
4	1.756000
4	28.079500
4	1.937500
4	10.057000
4	7.096500
4	1.983000
4	3.978000
4	1.898000
4	32.965500
4	42.606500
4	17.424000
4	2.165500
4	1.996000
4	2.121500
4	1.859000
4	1.884000
4	1.809000
4	2.412500
4	1.845000
4	1.937500
4	1.881000
4	1.981500
4	1.831500
4	2.067000
4	1.990000
4	1.932500
4	2.028000
4	2.873500
4	2.047000
4	2.003500
4	4.319000
4	1.922500
4	1.936000
4	1.808000
4	1.975500
4	6.142000
4	15.652500
4	11.106500
4	3.925500
4	1.937500
4	7.025000
4	4.084000
4	1.987000
4	13.755500
4	30.879000
4	30.708500
4	25.755500
4	40.301500
4	7.375500
4	1.855500
4	1.920000
4	2.842500
4	1.957500
4	2.001500
4	9.628000
4	2.425500
4	1.876000
4	1.805000
4	1.758000
4	1.942500
4	1.870000
4	1.813500
4	1.798000
4	1.908500
4	2.008500
4	1.897000
4	1.864500
4	1.894000
4	2.006000
4	6.829500
4	4.516500
4	5.715000
4	2.316500
4	6.223500
4	2.280000
4	8.173500
4	10.286000
4	13.476500
4	1.937500
4	1.941500
4	1.928000
4	1.843500
4	8.864500
4	1.933000
4	1.787000
4	2.177500
4	1.930500
4	1.734000
4	1.791500
4	1.922000
4	1.772000
4	6.044000
4	1.940500
4	1.795000
4	1.912500
4	1.807000
4	2.014500
4	1.872000
4	1.909000
4	1.972500
4	2.158500
4	2.004000
4	3.628000
4	2.052500
4	3.508000
4	1.921500
4	1.804500
4	1.717000
4	1.765500
4	1.786000
4	1.794500
4	5.095500
4	1.848000
4	1.905500
4	1.877000
4	2.015000
4	1.848000
4	1.947000
4	1.823000
4	1.835000
4	1.807500
4	1.844000
4	1.872500
4	1.848500
4	1.915000
4	1.869000
4	1.948500
4	1.935000
4	1.803000
4	1.796500
4	1.839000
4	1.949500
4	1.799000
4	1.989500
4	1.803500
4	1.825500
4	1.863500
4	1.859500
4	1.904000
4	1.738500
4	1.808500
4	42.544500
4	1.868000
4	1.805000
4	1.883000
4	1.814500
4	1.982000
4	1.889500
4	1.820000
4	1.882000
4	1.934500
4	1.766500
4	1.938000
4	1.865000
4	1.794000
4	3.085000
4	3.811000
4	2.913500
4	2.066500
4	1.877000
4	2.012000
4	1.912000
4	1.950000
4	1.835000
4	1.873500
4	1.844000
4	2.037000
4	1.871000
4	1.879500
4	1.797000
4	1.918500
4	1.851500
4	1.723000
4	1.949000
4	1.740500
4	1.837000
4	1.837000
4	1.809500
4	2.019500
4	1.805500
4	2.000000
4	1.931500
4	1.857000
4	2.340000
4	1.784500
4	3.788000
4	1.830500
4	1.841000
4	18.869500
4	15.501500
4	3.778500
4	18.288500
4	9.792000
4	4.624500
4	7.567000
4	2.018000
4	2.887500
4	3.263500
4	18.243500
4	27.874500
4	47.335000
4	18.605000
4	1.887000
4	5.455000
4	8.938000
4	5.146500
4	2.130000
4	1.842000
4	1.915000
4	1.791000
4	1.977000
4	1.851000
4	2.059500
4	1.871000
4	1.959500
4	1.897000
4	1.863000
4	1.958500
4	1.850000
4	1.941500
4	1.951000
4	2.010000
4	1.890000
4	1.779000
4	2.025000
4	2.038000
4	1.919500
4	2.037500
4	1.761500
4	1.859500
4	1.916000
4	2.009000
4	1.876500
4	2.040500
4	1.896000
4	1.855000
4	2.028000
4	2.001000
4	1.866000
4	1.871000
4	3.313500
4	1.971500
4	1.769500
4	2.075000
4	1.817500
4	1.804000
4	2.009000
4	8.160500
4	7.468500
4	1.809500
4	1.821500
4	1.832500
4	2.002500
4	11.059500
4	3.244000
4	1.875500
4	1.891000
4	1.788000
4	1.855500
4	1.903500
4	1.808000
4	1.899500
4	1.967000
4	1.838000
4	4.609500
4	1.882000
4	3.251000
4	2.902000
4	4.531500
4	3.968000
4	1.794000
4	1.912000
4	1.819500
4	1.930000
4	2.038500
4	8.099000
4	15.775000
4	10.522000
4	4.896000
4	19.928000
4	10.534000
4	8.817000
