# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: hpc-g04-node01.unitn.it
# Release : 3.10.0-1127.19.1.el7.x86_64
# Version : #1 SMP Tue Aug 25 17:23:54 UTC 2020
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 237.978610 
# Number of iterations (recorded+unrecorded): 1458104320 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
272975466.15	9775.12
273975542.26	6914.38
274975380.39	7390.34
275975217.52	7629.31
276975055.65	8106.27
277975131.76	4768.57
278974968.89	7391.34
279974807.02	8106.27
280974883.13	5006.55
281974720.27	7629.31
282974558.40	6198.44
283974634.51	6198.44
284974471.64	5245.53
285974309.77	9774.12
286974385.88	5006.55
287974461.99	7390.34
288974061.14	5244.53
289974375.23	6914.38
290973974.39	6199.44
291973812.52	6198.44
292973888.63	4291.61
293973725.76	5722.49
294973801.87	5483.51
295973401.02	5007.55
296973477.13	8106.27
297973315.26	4291.61
298973868.33	5006.55
299973228.51	7629.31
300973066.64	4768.57
301972903.77	5245.53
302972741.90	5483.51
303973294.97	5483.51
304972655.14	6914.38
305972493.27	7152.36
306972569.38	7629.31
307972406.52	5483.51
308972482.63	12158.91
309972320.76	8582.23
310972157.89	10728.04
311971996.02	10490.06
312971833.15	8821.21
313971909.26	5483.51
314971985.37	6437.42
315971584.53	5722.49
316972375.57	6199.44
317971498.77	4767.57
318971812.86	7390.34
319971412.01	6437.42
320971250.14	5006.55
321971087.27	7867.29
322970925.40	5006.55
323971001.51	10251.08
324970838.65	9536.14
325970676.78	5721.49
326970752.89	6913.38
327970590.02	6437.42
328970428.15	7152.36
329970504.26	5721.49
330970341.39	10728.04
331970179.52	5483.51
332970255.63	10251.08
333970092.77	4529.59
334969930.90	6913.38
335969768.03	6198.44
336969844.14	9775.12
337969682.27	11204.99
338969519.40	8106.27
339969595.51	7152.36
340969433.64	9059.19
341969270.78	6675.40
342969346.89	9536.14
343969185.02	8820.21
344969022.15	11681.95
345969336.24	11920.93
346968936.39	7867.29
347968773.52	7390.34
348968611.65	5483.51
349968687.76	10251.08
350968524.90	9059.19
351968363.03	5959.46
352968439.14	7151.36
353968276.27	5721.49
354968114.40	6913.38
355967951.53	8344.25
356968027.64	12158.91
357967865.77	8820.21
358967702.91	7867.29
359967779.02	12635.86
360967617.15	7867.29
361967454.28	7390.34
362967530.39	7152.36
363967367.52	7152.36
364967205.65	9059.19
365967281.76	7629.31
366967118.89	13350.80
367966957.03	5721.49
368966795.16	7390.34
369966870.27	7868.29
370966708.40	7390.34
371966545.53	7629.31
372966621.64	8345.25
373966459.77	6914.38
374966535.88	5960.46
375966135.04	6675.40
376966211.15	11442.97
377966048.28	7629.31
378966124.39	7629.31
379965962.52	5721.49
380965799.65	7391.34
381965637.78	7390.34
382965713.89	8344.25
383965551.02	7391.34
384965389.16	5721.49
385965465.27	7152.36
386965302.40	5245.53
387965378.51	13827.76
388965693.60	6913.38
389965053.77	7391.34
390964891.90	7390.34
391964729.03	7152.36
392964805.14	7868.29
393964643.28	8106.27
394964480.41	8583.23
395964556.52	8583.23
396964394.65	6675.40
397964231.78	6199.44
398964307.89	6199.44
399964146.02	8821.21
400963983.15	6437.42
401963821.29	9298.16
402963897.40	7867.29
403963734.53	9060.19
404963572.66	5006.55
405963648.77	18118.37
406963485.90	9060.19
407963324.03	6437.42
408963400.14	5244.53
409963237.27	8583.23
410963075.41	10490.06
411962912.54	5722.49
412963227.63	6675.40
413963541.71	5960.46
414962663.91	6199.44
415962740.02	5483.51
416962578.15	5483.51
417962654.26	11442.97
418962491.39	7391.34
419962329.53	9298.16
420962166.66	10252.08
421962242.77	9298.16
422962080.90	8105.27
423961918.03	7868.29
424961756.16	7629.31
425961832.27	8344.25
426961669.40	5245.53
427961507.54	8344.25
428961583.65	6436.42
429961420.78	9298.16
430961258.91	7390.34
431961335.02	5721.49
432961172.15	8821.21
433961010.28	7629.31
434960847.41	7867.29
435960923.52	8344.25
436960761.66	7867.29
437960598.79	9536.14
438960674.90	7867.29
439960513.03	6436.42
440960350.16	8821.21
441960188.29	9059.19
442960264.40	6436.42
443960101.53	7152.36
444960177.64	6437.42
445960015.78	7152.36
446959852.91	6675.40
447959691.04	6913.38
448959767.15	7390.34
449959604.28	5722.49
450959442.41	7628.31
451959518.52	8821.21
452960309.57	14303.71
453959193.79	5960.46
454959269.90	9297.16
455959107.03	13827.76
456958945.16	8344.25
457958782.29	5722.49
458958858.40	9775.12
459958696.53	6913.38
460958772.64	8582.23
461958609.77	6914.38
462958447.91	9297.16
463958285.04	8821.21
464958361.15	6914.38
465958199.28	8344.25
466958036.41	7867.29
467958112.52	7629.31
468957950.65	8582.23
469957787.78	7867.29
470957625.92	8821.21
471957702.03	11919.93
472957539.16	11204.99
473957377.29	7152.36
474957453.40	7390.34
475957290.53	8106.27
476957128.66	4052.64
477957442.75	6437.42
478957041.90	7390.34
479956880.04	8344.25
480956955.15	5484.51
481957031.26	8106.27
482956631.41	6913.38
483072968.95	10490.06
483956468.54	5722.49
484956544.65	7629.31
485956382.78	6436.42
486956219.91	5245.53
487594409.55	10251.08
487956296.02	4053.64
488666719.17	11443.97
488956133.16	3576.68
489956209.27	3338.70
490109499.49	11442.97
490956047.40	4529.59
491955884.53	2146.81
492955722.66	3814.66
493955560.79	4290.61
494955635.90	2384.79
495955474.03	3099.72
496955311.17	3338.70
497955387.28	3338.70
498955463.39	5483.51
499955062.54	3576.68
500978025.59	15495.61
501954976.78	4768.57
502955052.89	3337.70
503031101.06	10490.06
503954652.04	2860.74
504954728.15	2384.79
505954565.29	3815.66
506954641.40	3338.70
507954479.53	2145.81
507975219.66	15734.59
508954316.66	2146.81
508956701.44	3098.72
509954154.79	5006.55
510021144.77	10251.08
510954230.90	2622.76
511954307.01	2383.79
512953906.16	4052.64
513953982.27	4768.57
514953819.41	4291.61
515953657.54	2860.74
516953494.67	4530.59
517953570.78	3576.68
518953408.91	3099.72
518974388.03	15495.61
519953485.02	3576.68
520953322.15	4530.59
521040576.31	9774.12
521953160.28	9059.19
522952997.42	3576.68
523953073.53	2384.79
524952911.66	3099.72
525953464.72	5006.55
526952824.90	2384.79
527952663.03	3099.72
528952739.14	2860.74
529952576.27	8583.23
