# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
2111434,800000001,1
2686262,800000001,1
2080678,800000001,1
2319335,800000001,1
2134323,800000001,1
2562284,800000001,1
2171993,800000001,1
2351522,800000001,1
2169609,800000001,1
2269506,800000001,1
2175331,800000001,1
12911319,800000001,1
4650831,800000001,1
2513408,800000001,1
2082347,800000001,1
2246141,800000001,1
7123231,800000001,1
# Hoverboard test (1048576 1 1000000001)
# time(ns),sleep_time(ns),repetitions
4063844,1000000001,1
2547025,1000000001,1
13204813,1000000001,1
4602909,1000000001,1
12875318,1000000001,1
11790037,1000000001,1
2533197,1000000001,1
2526998,1000000001,1
8209943,1000000001,1
10634899,1000000001,1
2474784,1000000001,1
8035898,1000000001,1
2394437,1000000001,1
2699613,1000000001,1
11246204,1000000001,1
2465486,1000000001,1
2408742,1000000001,1
8451938,1000000001,1
8894681,1000000001,1
2515077,1000000001,1
3998041,1000000001,1
2575397,1000000001,1
2589225,1000000001,1
2550601,1000000001,1
2519369,1000000001,1
2515792,1000000001,1
2504587,1000000001,1
9373426,1000000001,1
2555847,1000000001,1
2956867,1000000001,1
