# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: lrdn0350.leonardo.local
# Release : 4.18.0-372.32.1.el8_6.x86_64
# Version : #1 SMP Fri Oct 7 12:35:10 EDT 2022
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 20.998793 
# Number of iterations (recorded+unrecorded): 1735851720 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
774955481.11	1159.93
774956840.03	316.98
775955446.63	1041.94
776955391.16	1007.94
776956719.08	316.98
777955325.68	1018.94
777956642.61	185.99
778955277.21	1217.93
779955220.73	1241.93
780955156.26	1350.92
781955097.78	1209.93
781956571.70	213.99
782955048.31	1589.91
783954985.84	1538.91
784954929.36	1089.94
785954881.89	1062.94
785956210.81	201.99
786954813.41	1608.91
787954766.94	1460.92
788954713.46	1309.92
789954659.99	1117.94
790954598.51	1578.91
791954550.04	1254.93
792954496.56	1086.94
793954403.09	1071.94
793955684.02	201.99
794954335.61	1147.93
795954295.14	1203.93
796954217.67	1110.94
797954162.19	1102.94
798954125.71	1243.93
799954067.24	1343.92
800954001.77	1050.94
801953940.29	1049.94
802953887.82	2143.88
803953845.34	1265.93
803955186.26	187.99
804953770.87	1112.94
805953716.39	1053.94
806953679.92	1311.92
807953627.44	1094.94
807954960.36	235.99
808953566.97	1198.93
809953500.49	1239.93
809954868.41	236.99
810953448.02	1247.93
811953388.54	1198.93
812953334.07	1076.94
813953279.59	1255.93
814953224.12	1138.93
815953121.65	1302.93
816953079.17	1163.93
817953026.70	1196.93
817954380.62	206.99
818952956.22	1211.93
819952898.75	1255.93
819954284.67	183.99
820952839.27	1556.91
821952793.80	1732.90
822952739.32	4517.74
823952686.85	1353.92
824952618.37	1058.94
825952564.90	1041.94
826952509.42	1001.94
827952446.95	2021.88
828952410.47	1176.93
829952357.00	1114.94
830952304.52	1195.93
831952247.05	1082.94
832952195.57	1251.93
833952140.10	1212.93
834952074.62	1054.94
835952009.15	1056.94
835953290.08	190.99
836951957.68	1142.93
837951872.20	1239.93
838951804.73	1090.94
839951750.25	1082.94
840951686.78	1421.92
841951638.30	1222.93
842951580.83	1147.93
843951539.35	1005.94
843952807.28	195.99
844951480.88	1247.93
845951417.40	1605.91
846951367.93	1185.93
847951316.45	1247.93
848951245.98	1199.93
849951200.50	1068.94
850951154.03	1108.94
850952499.95	194.99
851951091.56	1268.93
852951029.08	1545.91
853950972.61	16239.07
854950916.13	1140.93
855950857.66	1286.93
855952326.57	247.99
856950810.18	1139.93
857950760.71	1023.94
858950692.23	1050.94
858952007.16	298.98
859950595.76	1061.94
860950535.29	1238.93
861950487.81	1222.93
862950445.33	1343.92
863950374.86	1272.93
863951830.78	240.99
864950333.38	1238.93
865950259.91	1227.93
866950203.44	1342.92
867950155.96	1042.94
868950098.49	1248.93
869950041.01	1252.93
870949978.54	1103.94
871949946.06	1285.93
872949885.59	1171.93
873949823.11	1218.93
874949778.64	1052.94
875949723.16	1047.94
876949668.69	1272.93
877949600.21	1620.91
878949539.74	1112.94
879949493.26	1111.94
879950976.18	266.98
880949425.79	1590.91
881949334.32	1446.92
882949284.84	1268.93
883949235.37	1154.93
884949181.89	1215.93
885949111.42	1501.91
886949063.94	1078.94
887949011.47	1107.94
888948946.99	1596.91
889948889.52	1207.93
890948831.04	1119.94
891948771.57	1065.94
892948718.09	1259.93
893948670.62	1180.93
894948619.14	1223.93
895948557.67	1077.94
896948508.19	1120.94
897948449.72	1040.94
898948385.24	1083.94
899948341.77	1009.94
900948283.29	1263.93
901948234.82	1220.93
902948131.35	1299.93
903948083.87	1179.93
904948004.40	1639.91
905947961.92	1338.92
906947905.45	1109.94
907947862.97	1109.94
908947793.50	1218.93
908949033.43	1064.94
909947745.02	1232.93
910947686.55	1296.93
910949031.47	197.99
911947625.07	1181.93
912947575.60	1572.91
913947521.12	1546.91
914947470.65	1103.94
915947418.17	1055.94
916947349.70	1625.91
917947294.23	1240.93
918947251.75	1124.94
919947180.28	1063.94
920947124.80	1559.91
921947082.33	1222.93
922947019.85	1079.94
923946950.38	1111.94
924946876.90	1308.92
925946818.43	1258.93
925948125.35	186.99
926946761.95	1258.93
927946695.48	1226.93
928946632.01	1234.93
929946593.53	1230.93
929947899.45	193.99
930946517.06	1477.92
931946472.58	1045.94
932946411.11	1113.94
933946371.63	1262.93
934946298.16	1206.93
935946245.68	1094.94
936946207.21	1045.94
937946129.73	1607.91
938946080.26	1484.91
939946019.78	1059.94
939947331.71	199.99
940945981.31	1005.94
940947304.23	239.99
941945913.83	1323.92
942945856.36	997.94
943945802.88	1007.94
944945759.41	1006.94
945945696.93	1579.91
