# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: lrdn0350.leonardo.local
# Release : 4.18.0-372.32.1.el8_6.x86_64
# Version : #1 SMP Fri Oct 7 12:35:10 EDT 2022
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 20.998793 
# Number of iterations (recorded+unrecorded): 1735851720 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
252985490.90	1530.91
253985444.42	1225.93
254985389.95	1356.92
255985338.47	1095.94
256985264.00	1278.93
257985215.53	1702.90
258985156.05	1202.93
258986514.97	297.98
259985102.58	1123.94
260985065.10	1238.93
261984997.63	1531.91
262984955.15	1223.93
263984890.68	1363.92
264984839.20	1151.93
265984779.73	987.94
266984730.25	1073.94
267984653.78	1259.93
268984603.30	1267.93
269984511.83	1142.93
270984456.36	1098.94
270985793.28	201.99
271984390.88	1085.94
272984329.41	1582.91
273984281.93	1255.93
274984244.46	1130.93
275984166.98	1164.93
276984123.51	1233.93
276985459.43	263.98
277984066.03	1234.93
278984015.56	1104.94
279983968.08	1064.94
279985432.00	254.99
280983896.61	1208.93
281983848.13	1208.93
282983796.66	1110.94
283983728.18	1097.94
284983665.71	1318.92
284985048.63	192.99
285983611.23	1050.94
286983572.76	1219.93
287983512.28	1257.93
288983453.81	1265.93
289983401.33	1535.91
290983341.86	1245.93
291983257.39	1034.94
291984557.31	309.98
292983183.91	1260.93
293983136.44	1502.91
294983091.96	1166.93
295983020.49	1052.94
296982971.01	1567.91
297982920.54	1225.93
298982855.06	1056.94
299982797.59	1099.94
300982748.11	1198.93
301982683.64	1136.93
302982627.16	1528.91
303982569.69	1174.93
304982527.21	1223.93
305982481.74	1344.92
306982402.27	1228.93
307982359.79	1019.94
308982290.32	1081.94
308983651.24	184.99
309982259.84	1249.93
310982201.37	1247.93
311982105.89	1187.93
312982087.42	1089.94
312983360.34	286.98
313981990.94	1274.93
314981933.47	1188.93
315981867.99	1084.94
316981823.52	1049.94
316983164.44	188.99
317981750.04	1057.94
318981700.57	1292.93
319981658.09	1033.94
320981595.62	1018.94
321981535.15	1096.94
322981496.67	1215.93
323981423.20	1144.93
324981363.72	1101.94
324982702.64	196.99
325981322.25	1099.94
325982551.17	227.99
326981255.77	1577.91
327981206.30	1335.92
327982591.22	218.99
328981153.82	1186.93
329981084.35	1123.94
330981026.87	1206.93
331980972.40	1186.93
332980927.92	1268.93
333980872.45	1130.93
334980769.98	1232.93
335980730.50	1184.93
336980662.03	1077.94
337980622.55	1271.93
338980559.08	1148.93
338981944.00	198.99
339980485.60	1014.94
339981834.52	199.99
340980431.13	1024.94
341980394.65	1022.94
342980337.18	1211.93
343980280.70	1216.93
344980214.23	1062.94
344981595.15	316.98
345980172.75	1089.94
346980114.28	1231.93
347980050.80	1186.93
348979985.33	1073.94
349979929.85	1146.93
350979882.38	1279.93
351979842.90	1239.93
352979771.43	1060.94
353979709.95	1056.94
354979640.48	1634.91
355979621.00	1283.93
356979517.53	1125.94
357979444.06	1038.94
358979394.58	1572.91
359979338.11	1339.92
360979291.63	1120.94
360980676.55	193.99
361979238.16	1371.92
362979180.68	1242.93
363979115.21	1057.94
364979076.73	1023.94
365979004.26	1323.92
366978942.78	1391.92
367978877.31	1540.91
368978839.83	1121.94
369978784.36	1071.94
370978727.88	1612.91
371978685.41	1189.93
372978610.94	1138.93
373978576.46	1100.94
374978516.98	1129.94
375978447.51	1032.94
376978408.04	1050.94
377978337.56	1097.94
378978244.09	1236.93
379978191.61	1235.93
380978138.14	1152.93
381978089.66	1073.94
382978031.19	1231.93
382979418.11	181.99
383977968.71	1125.94
384977927.24	1012.94
385977862.76	1030.94
386977801.29	1583.91
387977755.81	1339.92
388977698.34	1097.94
389977644.86	1109.94
390977572.39	1291.93
391977525.92	1532.91
392977457.44	1112.94
393977402.97	1290.93
393978957.88	265.98
394977352.49	1138.93
395977300.02	1042.94
396977237.54	1043.94
397977181.07	1242.93
398977136.59	1261.93
399977067.12	1242.93
400976977.65	1117.94
400978332.57	300.98
401976923.17	1046.94
402976859.70	1732.90
403976829.22	1265.93
404976760.75	1096.94
405976702.27	2014.88
406976632.80	5293.70
407976576.32	1536.91
408976534.85	1292.93
409976483.37	1124.94
410976433.90	1157.93
411976378.42	1096.94
412976300.95	1091.94
413938045.67	206.99
413938273.66	182.99
413976266.47	959.94
414976205.00	1714.90
415113294.12	338.98
415976136.52	1554.91
416976089.05	1128.94
417976029.57	1061.94
418975991.10	1136.93
419975921.62	1254.93
420975860.15	1073.94
421975771.68	1058.94
421977067.60	196.99
422975713.20	1595.91
423975649.73	1328.92
424975613.25	1378.92
425975564.78	1194.93
426975472.30	1600.91
427975444.83	1208.93
428975387.35	1074.94
429975306.88	1416.92
430975282.40	1160.93
431975205.93	1209.93
432975173.45	1183.93
432976541.37	245.99
433975104.98	1047.94
434975044.50	1490.91
435974986.03	1191.93
435976332.95	264.98
436974940.55	1082.94
436976235.48	202.99
437974888.08	1111.94
438974828.60	1243.93
439974769.13	1190.93
440974707.66	1096.94
441974658.18	1104.94
442974607.71	2083.88
443974500.23	1219.93
444974448.76	1216.93
445974404.28	1061.94
445975622.21	219.99
446974343.81	1232.93
447974289.33	1027.94
448974238.86	1018.94
449974178.38	1027.94
450974117.91	1256.93
450975450.83	206.99
451974054.44	1789.90
452974000.96	1043.94
453973953.49	1226.93
454973892.01	1533.91
455973849.54	1092.94
456973800.06	1273.93
457973738.59	1108.94
458973656.11	1609.91
459973608.64	1183.93
459974962.56	300.98
460973553.16	1094.94
461973497.69	1053.94
462973446.21	1601.91
463973397.74	1502.91
463974921.65	1907.89
464973335.26	1188.93
465973235.79	1056.94
466973175.32	1594.91
467973141.84	1186.93
468973089.36	1103.94
469973020.89	1089.94
470972960.42	1238.93
471972913.94	1171.93
471974275.86	297.98
472972862.47	1075.94
473972788.99	1081.94
474972738.52	1223.93
475972703.04	1193.93
476972623.57	983.94
477972570.09	1096.94
478972512.62	1517.91
479972444.14	1602.91
480972416.67	1220.93
481972356.19	1107.94
482972290.72	1125.94
483972237.24	1325.92
483973639.16	239.99
484972167.77	1568.91
485972134.29	1121.94
485973492.22	190.99
486972080.82	1356.92
487971995.35	1149.93
488971932.87	1016.94
488973265.79	202.99
489971865.40	1237.93
490971809.92	1237.93
491971745.45	1624.91
492971712.97	1257.93
493971646.50	1517.91
494971589.02	1094.94
494972892.95	198.99
495971515.55	1607.91
496971495.07	1236.93
496972860.99	316.98
497971423.60	993.94
498971364.12	1528.91
499971314.65	1123.94
500971256.17	1102.94
501971201.70	1001.94
502971154.22	1006.94
503971103.75	1277.93
504971047.27	1185.93
505970966.80	1068.94
506970926.33	1076.94
506972268.25	190.99
507970882.85	1120.94
508970819.38	1040.94
509970711.90	1039.94
510970674.43	1283.93
511970618.95	1269.93
512970541.48	1217.93
513970499.00	1096.94
514970452.53	1092.94
515970365.06	1594.91
516970330.58	1566.91
517970269.10	1113.94
518970209.63	1092.94
519970173.15	1179.93
520970115.68	1203.93
521970060.20	1276.93
522969995.73	1204.93
522971437.65	190.99
523969919.26	1590.91
524969882.78	1284.93
524971241.70	197.99
525969836.31	1062.94
526969763.83	1086.94
527969706.36	1128.94
528969674.88	1328.92
529969616.41	1081.94
530969516.93	1103.94
531969441.46	1214.93
532969385.99	1224.93
533969354.51	1194.93
533970706.43	269.98
534969292.04	1076.94
535969220.56	1097.94
536969167.09	1130.93
536970589.00	301.98
537969108.61	1027.94
537970469.53	214.99
538969052.14	1019.94
538970405.06	197.99
539968998.66	1028.94
540968956.19	1139.93
