# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
104314,1000000001,1
336460,1000000001,1
122555,1000000001,1
103707,1000000001,1
149802,1000000001,1
113010,1000000001,1
105614,1000000001,1
343080,1000000001,1
103658,1000000001,1
106211,1000000001,1
747993,1000000001,1
888926,1000000001,1
103731,1000000001,1
604690,1000000001,1
105467,1000000001,1
108818,1000000001,1
103868,1000000001,1
103970,1000000001,1
993477,1000000001,1
1836136,1000000001,1
202314,1000000001,1
116009,1000000001,1
103968,1000000001,1
103904,1000000001,1
