# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: hpc-c07-node05.unitn.it
# Release : 3.10.0-1127.19.1.el7.x86_64
# Version : #1 SMP Tue Aug 25 17:23:54 UTC 2020
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 237.983489 
# Number of iterations (recorded+unrecorded): 1412962005 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
240983217.83	6675.54
241983076.46	6436.55
242983173.07	7867.45
243983030.70	6914.52
244982889.33	5244.64
245982746.96	6198.57
246982843.58	6437.55
247982702.21	15257.94
248982559.84	11444.21
249982656.45	13112.09
250982276.10	9059.37
251982372.71	20502.58
252982231.35	13112.09
253982326.96	14781.97
254982185.59	9775.32
255982282.21	9059.37
256982139.84	40291.20
257981998.47	15257.94
258981857.10	23363.38
259981952.71	11921.17
260981811.34	7152.50
261981668.97	8345.42
262981765.59	5483.62
263981624.22	9298.35
264981481.85	8106.44
265981578.46	10013.31
266981437.09	5483.62
267981294.73	12159.16
268981153.36	7152.50
269981249.97	18118.74
270981107.60	10252.29
271980966.23	10013.31
272981062.85	15972.89
273980920.48	17642.78
274980779.11	16211.88
275980636.74	16211.88
276980733.35	27655.08
277980591.98	15257.94
278980449.62	15258.94
279980546.23	7152.50
280980404.86	6198.57
281980262.49	5960.59
282980359.11	7152.50
283980217.74	5483.62
284980075.37	6199.57
285980171.98	5245.64
286980030.61	15734.91
287979888.24	8344.42
288979984.86	11444.21
289979843.49	9774.32
290979701.12	6199.57
291979559.75	17164.81
292979656.36	17164.81
293979514.00	15973.89
294979372.63	29800.93
295979469.24	17164.81
296979326.87	21218.53
297979185.50	8582.40
298979282.12	11205.22
299979139.75	36237.49
300978998.38	11443.21
301978856.01	6675.54
302978952.62	11921.17
303978811.25	6675.54
304978668.88	22172.46
305978765.50	12636.12
306978624.13	15257.94
307978481.76	21933.48
308978578.38	11682.19
309978437.01	12159.16
310978294.64	11682.19
311978153.27	6913.52
312978249.88	9297.35
313978107.51	6914.52
314977966.14	7867.45
315978062.76	8105.44
316977920.39	9060.37
317977779.02	8582.40
318977875.63	7390.49
319977733.26	7391.49
320977591.90	19548.64
321977449.53	9775.32
322977546.14	14781.97
323977404.77	14304.01
324977262.40	8106.44
325977359.02	7391.49
326977217.65	7629.47
327977075.28	8106.44
328116302.62	10490.27
328977171.89	7629.47
329977030.52	6198.57
330976888.15	6675.54
331976984.77	6675.54
332976843.40	5244.64
333365200.46	22648.43
333976701.03	14781.97
334976559.66	16211.88
335976656.28	11682.19
336976513.91	9060.37
337976372.54	6436.55
338549490.77	10490.27
338976469.15	6675.54
339554832.03	24317.31
339976326.78	21218.53
340976185.41	12158.16
341976282.03	13112.09
342976139.66	12874.11
343975998.29	11920.17
344975855.92	16211.88
345975952.53	15257.94
346975811.17	10966.24
347975668.80	6198.57
348975765.41	6914.52
349975624.04	12874.11
350975481.67	10013.31
351975578.29	9059.37
352975436.92	8582.40
353975294.55	25032.26
354975153.18	8821.39
355975249.79	7867.45
356975107.42	36476.47
357974966.05	17641.78
358975062.67	20502.58
359974920.30	13828.04
360974778.93	12635.12
361974875.55	23601.36
362974733.18	9298.35
363974591.81	14304.01
364974688.42	8344.42
365974546.05	7867.45
366974404.68	9536.34
367974262.31	17641.78
368974358.93	9775.32
369974217.56	11681.19
370974075.19	5960.59
371974171.80	8344.42
372974030.43	8105.44
373973888.07	7629.47
374973984.68	7867.45
375973843.31	6675.54
376973700.94	6198.57
377973797.56	5483.62
378973655.19	6437.55
379973513.82	6198.57
380973610.43	6437.55
381973468.06	20026.61
382973326.69	14066.02
383973185.32	11205.22
384973280.94	7868.45
385973139.57	15257.94
386972997.20	18119.74
387973093.81	15734.91
388972952.45	13828.04
389972810.08	14305.01
390972668.71	14066.02
391972765.32	7629.47
392972622.95	10252.29
393972481.58	10967.24
394972578.20	7390.49
395972435.83	7391.49
396972294.46	7152.50
397972391.07	13589.06
398972248.70	10729.26
399972107.34	13351.07
400971964.97	17403.79
401972061.58	16211.88
402971920.21	9536.34
403971777.84	11921.17
404971874.46	15734.91
405971733.09	11920.17
406971590.72	10967.24
407971687.33	12636.12
408971545.96	9059.37
409971403.59	12159.16
410971500.21	8821.39
411971358.84	7867.45
412971216.47	7868.45
413971313.08	6199.57
414971171.72	5721.60
415971029.35	5722.60
416970887.98	6198.57
417970984.59	5721.60
418970842.22	5960.59
419970700.85	5721.60
420970797.47	5960.59
421970655.10	5007.65
422970513.73	6437.55
423970371.36	6199.57
424970467.97	11682.19
425970326.60	17403.79
426970184.24	12398.14
427970280.85	9775.32
428970139.48	17641.78
429969997.11	15973.89
430970093.73	21695.49
431969952.36	13112.09
432969809.99	10252.29
433969906.60	7629.47
434969765.23	8821.39
435969622.86	8821.39
436969481.49	7629.47
437969578.11	5483.62
438969435.74	15734.91
439969294.37	8105.44
440969390.98	8344.42
441969248.62	10252.29
442969107.25	10251.29
443969203.86	12874.11
444969061.49	8821.39
445968920.12	10490.27
446969016.74	15972.89
447968874.37	16926.83
448968256.03	6675.54
449968590.63	12397.14
450968687.24	15734.91
451968306.89	20503.58
452968403.51	13828.04
453968500.12	22410.45
454968358.75	6436.55
455968216.38	6199.57
456968313.00	6675.54
457968171.63	5483.62
458968029.26	5483.62
459968125.87	12159.16
460967984.50	18356.73
461024723.57	4530.69
461967842.13	15019.96
462967700.76	16211.88
463967797.38	6436.55
464967655.01	6675.54
465967513.64	13589.06
466967610.25	14542.99
467967467.89	15496.92
468967326.52	18356.73
469967184.15	18118.74
470967280.76	12397.14
471967139.39	6913.52
472966997.02	5722.60
473967093.64	6914.52
474966952.27	14066.02
475966809.90	7391.49
476966906.51	9775.32
477966765.14	9297.35
477976300.48	4530.69
478966622.77	7391.49
479966719.39	25032.26
480966578.02	10013.31
481966435.65	13589.06
482966294.28	17879.76
483966390.90	14780.97
484966248.53	11682.19
485966107.16	15972.89
486966203.77	14304.01
487966061.40	17880.76
488965920.03	11205.22
489966016.65	12635.12
490965874.28	11205.22
491965732.91	9297.35
492965829.52	4529.69
493965687.15	8106.44
494965545.79	16687.84
495965403.42	8821.39
496965500.03	5721.60
497965358.66	5959.59
498965216.29	13828.04
499965312.91	11443.21
500965171.54	14066.02
501965029.17	15496.92
502964887.80	11681.19
503964983.41	18119.74
504964842.04	13589.06
505964700.68	20264.59
506964796.29	7152.50
507964654.92	17880.76
508964513.55	8820.39
509964609.17	10013.31
510964467.80	15257.94
511964325.43	23364.38
512964184.06	7629.47
513964280.67	6198.57
514964138.30	22649.43
515963996.93	10251.29
516964093.55	13589.06
517963951.18	11682.19
518963809.81	18357.73
519963906.42	9059.37
520963764.06	20026.61
521963622.69	11920.17
522963719.30	16211.88
523963576.93	20980.54
524963435.56	11443.21
525963532.18	6198.57
526963389.81	8583.40
527963248.44	7390.49
528963106.07	5483.62
529963202.68	5960.59
530963061.31	5483.62
531962918.94	6199.57
532963015.56	7391.49
533962874.19	6437.55
534962731.82	6676.54
535962828.43	7152.50
536962687.07	6913.52
537962544.70	5960.59
538962403.33	6437.55
539962499.94	4529.69
540962357.57	5007.65
541962454.19	5007.65
542962312.82	6198.57
543962170.45	5722.60
544962029.08	7867.45
545962125.69	8105.44
546081565.41	10251.29
546126861.26	15734.91
546961983.32	14542.99
547961841.96	20741.56
548961938.57	13589.06
549961796.20	19549.64
550961654.83	9774.32
551961512.46	18357.73
552961609.08	20026.61
553961467.71	12397.14
554961325.34	10252.29
555961421.95	10490.27
556961280.58	9059.37
557961138.21	11205.22
558961234.83	16926.83
559961093.46	14780.97
560961190.07	16687.84
561960809.72	9536.34
562960906.34	11682.19
563960763.97	19787.63
564960622.60	17403.79
565960719.21	19548.64
566960576.84	34092.63
567960435.47	15972.89
568960532.09	11920.17
569960389.72	17880.76
570960248.35	16687.84
571960344.96	11205.22
572960202.59	13589.06
573960061.22	11205.22
574959918.86	7867.45
575960015.47	6914.52
576959874.10	7867.45
577959731.73	5960.59
578959828.35	5960.59
579959686.98	7629.47
580959544.61	7391.49
581959641.22	7629.47
582959499.85	6436.55
583959357.48	6675.54
584844544.07	10490.27
584959454.10	5960.59
585959312.73	4767.67
586131438.79	17403.79
586959170.36	10013.31
587959028.99	12874.11
588959125.60	15495.92
589958983.24	10252.29
590958841.87	20741.56
591958699.50	11682.19
592958796.11	15734.91
593958654.74	10013.31
594958751.36	24078.33
595958608.99	12874.11
596958467.62	32899.72
597958325.25	16211.88
598958421.86	8106.44
599958280.49	7390.49
600958138.13	6437.55
601958234.74	12397.14
602958093.37	15257.94
603957951.00	16449.86
604957809.63	14542.99
605957906.25	11920.17
606957763.88	23364.38
607957622.51	12158.16
608957719.12	16687.84
609957576.75	21218.53
610957435.38	13350.07
611957532.00	16926.83
612957389.63	11444.21
613957248.26	7628.47
614957344.87	10489.27
615957202.51	13828.04
616957061.14	5721.60
617957157.75	8820.39
618957015.38	7390.49
619956874.01	5006.65
620956731.64	5483.62
621956828.26	5721.60
622956686.89	5244.64
623956544.52	5245.64
624956641.13	7152.50
625956499.76	5721.60
626956357.39	5721.60
