# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
3429651,800000001,1
2999544,800000001,1
2294540,800000001,1
3133773,800000001,1
2173662,800000001,1
2747058,800000001,1
2116918,800000001,1
5797624,800000001,1
3707170,800000001,1
3706932,800000001,1
3257274,800000001,1
3603696,800000001,1
4313945,800000001,1
2659320,800000001,1
3995418,800000001,1
2709627,800000001,1
2045869,800000001,1
# Hoverboard test (1048576 1 1000000001)
# time(ns),sleep_time(ns),repetitions
5537509,1000000001,1
4499197,1000000001,1
4833698,1000000001,1
3874778,1000000001,1
3991603,1000000001,1
3453254,1000000001,1
3981113,1000000001,1
4107475,1000000001,1
3828525,1000000001,1
3536939,1000000001,1
4013538,1000000001,1
3684759,1000000001,1
3504276,1000000001,1
3537893,1000000001,1
3943920,1000000001,1
3802776,1000000001,1
3406763,1000000001,1
3609418,1000000001,1
4437923,1000000001,1
3445625,1000000001,1
3756284,1000000001,1
4000663,1000000001,1
4354476,1000000001,1
3362417,1000000001,1
3483057,1000000001,1
3374814,1000000001,1
3536939,1000000001,1
3369569,1000000001,1
3440380,1000000001,1
4258394,1000000001,1
